variant,map_seed,rotation,team,start,units,prestige,buildings,alive,starvation,combat,conversions_in,conversions_out,measurement_tick
baseline-r3,61,0,1,1,13,0,6,True,19,15,4,6,60000
baseline-r3,61,0,2,2,95,0,19,True,28,2,54,4,60000
baseline-r3,61,0,3,3,12,0,14,True,5,4,0,36,60000
baseline-r3,61,1,0,3,2,0,14,True,5,0,0,67,60000
baseline-r3,61,1,1,0,0,0,3,False,7,3,0,63,60000
baseline-r3,61,1,2,1,291,100,29,True,11,8,173,32,60000
baseline-r3,61,1,3,2,1,0,2,True,21,45,87,98,60000
baseline-r3,61,2,0,2,28,0,15,True,29,9,8,8,60000
baseline-r3,61,2,1,3,91,100,19,True,8,21,29,0,60000
baseline-r3,61,2,2,0,4,0,1,False,25,10,3,24,60000
baseline-r3,61,2,3,1,90,0,25,True,40,4,2,10,60000
baseline-r3,61,3,0,1,112,0,23,True,15,6,62,22,60000
baseline-r3,61,3,1,2,65,0,11,True,14,2,45,35,60000
baseline-r3,61,3,2,3,7,0,2,True,11,13,0,18,60000
baseline-r3,61,3,3,0,0,0,1,False,17,7,2,34,60000
r5,17,0,0,0,2,0,2,False,5,17,0,33,60000
r5,17,0,1,1,11,0,13,True,7,9,5,43,60000
r5,17,0,2,2,41,0,11,True,15,15,0,35,60000
r5,17,0,3,3,263,50,20,True,19,2,111,5,60000
r5,17,1,0,3,135,100,22,True,6,4,68,77,60000
r5,17,1,1,0,20,0,3,True,9,27,30,96,60000
r5,17,1,2,1,199,100,22,True,12,36,111,68,60000
r5,17,1,3,2,170,100,21,True,13,13,80,48,60000
r5,17,2,0,2,148,50,14,True,29,33,43,85,60000
r5,17,2,1,3,210,0,22,True,25,33,62,29,60000
r5,17,2,2,0,126,0,17,True,29,28,79,52,60000
r5,17,2,3,1,0,0,2,False,21,18,15,33,60000
r5,17,3,0,1,102,0,22,True,19,16,14,97,60000
r5,17,3,1,2,0,0,1,False,32,37,60,79,60000
r5,17,3,2,3,209,100,21,True,20,11,148,22,60000
r5,17,3,3,0,0,0,10,False,6,4,0,24,60000
r5,29,0,0,0,128,0,19,True,15,24,97,73,60000
r5,29,0,1,1,146,100,19,True,32,29,157,72,60000
r5,29,0,2,2,18,0,4,True,19,25,24,79,60000
r5,29,0,3,3,115,50,15,True,42,8,57,111,60000
r5,29,1,0,3,49,0,9,True,14,25,61,265,60000
r5,29,1,1,0,319,50,30,True,24,53,302,78,60000
r5,29,1,2,1,136,0,18,True,14,42,155,139,60000
r5,29,1,3,2,0,0,4,False,3,14,0,36,60000
r5,29,2,0,2,77,0,9,True,41,25,47,96,60000
r5,29,2,1,3,179,0,19,True,36,29,112,29,60000
r5,29,2,2,0,77,0,19,True,20,5,39,40,60000
r5,29,2,3,1,3,0,7,True,11,7,0,33,60000
r5,29,3,0,1,37,0,7,True,20,10,19,70,60000
r5,29,3,1,2,0,0,0,False,41,36,22,70,60000
r5,29,3,2,3,153,0,20,True,25,14,35,119,60000
r5,29,3,3,0,254,50,22,True,34,54,217,34,60000
r5,43,0,0,0,26,0,15,True,4,13,0,31,60000
r5,43,0,1,1,281,50,27,True,19,32,116,119,60000
r5,43,0,2,2,8,0,2,True,27,63,62,89,60000
r5,43,0,3,3,138,0,17,True,9,19,140,79,60000
r5,43,1,0,3,4,0,1,True,4,115,149,153,60000
r5,43,1,1,0,0,0,1,False,13,42,27,67,60000
r5,43,1,2,1,9,0,8,True,4,25,26,105,60000
r5,43,1,3,2,335,100,31,True,15,18,226,103,60000
r5,43,2,0,2,147,50,13,True,15,47,117,85,60000
r5,43,2,1,3,110,0,14,True,9,34,107,84,60000
r5,43,2,2,0,64,0,16,True,8,8,14,53,60000
r5,43,2,3,1,6,0,15,True,10,1,0,16,60000
r5,43,3,0,1,195,0,17,True,11,16,117,70,60000
r5,43,3,1,2,200,50,24,True,8,15,134,72,60000
r5,43,3,2,3,4,0,0,True,13,38,4,70,60000
r5,43,3,3,0,1,0,0,False,7,20,4,47,60000
r5,61,0,0,0,0,0,0,False,6,19,0,31,53474
r5,61,0,1,1,293,50,29,True,22,7,96,2,53474
r5,61,0,2,2,3,0,0,False,5,8,0,41,53474
r5,61,0,3,3,0,0,0,False,23,19,3,25,53474
r5,61,1,0,3,96,50,17,True,27,9,110,116,60000
r5,61,1,1,0,45,0,18,True,5,11,49,155,60000
r5,61,1,2,1,289,0,26,True,29,33,251,95,60000
r5,61,1,3,2,32,50,8,True,10,11,85,129,60000
r5,61,2,0,2,8,0,4,True,26,35,55,57,60000
r5,61,2,1,3,146,0,20,True,12,5,68,56,60000
r5,61,2,2,0,66,100,22,True,14,7,31,58,60000
r5,61,2,3,1,132,0,19,True,17,17,59,42,60000
r5,61,3,0,1,235,100,27,True,15,2,117,45,60000
r5,61,3,1,2,145,0,17,True,17,30,58,86,60000
r5,61,3,2,3,1,0,4,True,20,16,14,54,60000
r5,61,3,3,0,0,0,0,False,21,26,7,11,60000
