variant,map_seed,rotation,team,start,units,prestige,buildings,alive,starvation,combat,conversions_in,conversions_out,measurement_tick
baseline-r3,61,0,1,1,13,0,6,True,19,15,4,6,60000
baseline-r3,61,0,2,2,95,0,19,True,28,2,54,4,60000
baseline-r3,61,0,3,3,12,0,14,True,5,4,0,36,60000
baseline-r3,61,1,0,3,2,0,14,True,5,0,0,67,60000
baseline-r3,61,1,1,0,0,0,3,False,7,3,0,63,60000
baseline-r3,61,1,2,1,291,100,29,True,11,8,173,32,60000
baseline-r3,61,1,3,2,1,0,2,True,21,45,87,98,60000
baseline-r3,61,2,0,2,28,0,15,True,29,9,8,8,60000
baseline-r3,61,2,1,3,91,100,19,True,8,21,29,0,60000
baseline-r3,61,2,2,0,4,0,1,False,25,10,3,24,60000
baseline-r3,61,2,3,1,90,0,25,True,40,4,2,10,60000
baseline-r3,61,3,0,1,112,0,23,True,15,6,62,22,60000
baseline-r3,61,3,1,2,65,0,11,True,14,2,45,35,60000
baseline-r3,61,3,2,3,7,0,2,True,11,13,0,18,60000
baseline-r3,61,3,3,0,0,0,1,False,17,7,2,34,60000
r4,17,0,0,0,110,50,15,True,13,15,50,36,60000
r4,17,0,1,1,159,50,27,True,22,65,44,125,60000
r4,17,0,2,2,235,100,28,True,26,30,160,83,60000
r4,17,0,3,3,98,100,17,True,7,5,82,92,60000
r4,17,1,0,3,197,50,15,True,14,48,164,102,60000
r4,17,1,1,0,0,0,1,False,9,25,13,92,60000
r4,17,1,2,1,17,0,1,True,1,13,34,105,60000
r4,17,1,3,2,227,100,23,True,8,5,151,63,60000
r4,17,2,0,2,125,0,14,True,15,19,97,32,60000
r4,17,2,1,3,103,0,12,True,16,36,50,46,60000
r4,17,2,2,0,3,0,2,True,15,6,0,29,60000
r4,17,2,3,1,44,0,15,True,13,5,0,40,60000
r4,17,3,0,1,121,50,14,True,5,16,73,68,60000
r4,17,3,1,2,146,0,16,True,19,40,103,132,60000
r4,17,3,2,3,118,50,16,True,8,27,119,78,60000
r4,17,3,3,0,1,0,3,True,16,4,0,17,60000
r4,29,0,0,0,62,0,15,True,11,28,64,40,60000
r4,29,0,1,1,28,0,7,True,8,13,15,60,60000
r4,29,0,2,2,91,0,16,True,8,19,45,55,60000
r4,29,0,3,3,140,100,20,True,11,6,88,57,60000
r4,29,1,0,3,115,100,17,True,8,11,97,80,60000
r4,29,1,1,0,199,100,23,True,19,30,103,87,60000
r4,29,1,2,1,133,0,14,True,21,26,101,76,60000
r4,29,1,3,2,92,0,20,True,10,18,40,98,60000
r4,29,2,0,2,217,0,24,True,32,14,57,69,60000
r4,29,2,1,3,65,0,2,True,16,24,48,31,60000
r4,29,2,2,0,60,0,12,True,33,8,19,21,60000
r4,29,2,3,1,84,0,10,True,7,7,40,43,60000
r4,29,3,0,1,23,0,4,True,8,30,53,109,60000
r4,29,3,1,2,4,0,3,False,10,16,0,53,60000
r4,29,3,2,3,17,0,4,True,37,18,43,93,60000
r4,29,3,3,0,310,50,31,True,19,7,196,37,60000
r4,43,0,0,0,8,0,0,True,10,48,34,55,60000
r4,43,0,1,1,0,0,1,False,15,21,4,61,60000
r4,43,0,2,2,0,0,2,False,7,36,18,97,60000
r4,43,0,3,3,317,100,31,True,14,15,190,33,60000
r4,43,1,0,3,151,50,16,True,15,22,92,138,60000
r4,43,1,1,0,128,0,15,True,9,26,82,68,60000
r4,43,1,2,1,206,100,23,True,4,17,165,87,60000
r4,43,1,3,2,36,0,12,True,7,45,107,153,60000
r4,43,2,0,2,116,50,19,True,4,10,76,104,60000
r4,43,2,1,3,0,0,1,False,12,52,81,101,60000
r4,43,2,2,0,0,0,0,False,6,12,0,29,60000
r4,43,2,3,1,203,0,22,True,7,18,140,63,60000
r4,43,3,0,1,7,0,1,True,12,50,24,34,60000
r4,43,3,1,2,104,0,20,True,4,8,42,47,60000
r4,43,3,2,3,158,50,20,True,31,34,93,30,60000
r4,43,3,3,0,20,0,18,True,11,15,0,48,60000
r4,61,0,0,0,0,0,0,False,5,19,20,88,60000
r4,61,0,1,1,331,100,31,True,37,24,179,53,60000
r4,61,0,2,2,51,0,4,True,18,33,66,102,60000
r4,61,0,3,3,0,0,0,False,11,14,0,22,60000
r4,61,1,0,3,89,100,15,True,9,15,98,97,60000
r4,61,1,1,0,6,0,11,True,3,3,0,47,60000
r4,61,1,2,1,220,100,25,True,6,33,156,76,60000
r4,61,1,3,2,6,0,1,True,8,52,92,126,60000
r4,61,2,0,2,90,0,14,True,12,11,30,32,60000
r4,61,2,1,3,0,0,4,False,31,8,11,40,60000
r4,61,2,2,0,160,50,21,True,23,6,54,56,60000
r4,61,2,3,1,1,0,1,False,53,48,66,33,60000
r4,61,3,0,1,0,0,3,False,7,2,0,44,60000
r4,61,3,1,2,51,0,4,True,43,18,18,21,60000
r4,61,3,2,3,146,0,22,True,11,7,93,13,60000
r4,61,3,3,0,0,0,1,False,19,10,0,33,60000
