generator,width_tiles,height_tiles,teams,classification,successful_seeds,rejected_seeds,other_seeds,missing_seeds
34,512,512,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,512,512,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,512,512,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,512,512,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,512,512,7,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
34,512,512,8,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,128,128,2,mixed-seed-outcome,"20001,20003,20010,20012,30005,30008","20002,20004,20005,20006,20007,20008,20009,20011,20013,20014,20015,20016,30001,30002,30003,30004,30006,30007",,
35,128,128,3,mixed-seed-outcome,"20001,20003,20010,20012,30005,30008","20002,20004,20005,20006,20007,20008,20009,20011,20013,20014,20015,20016,30001,30002,30003,30004,30006,30007",,
35,128,128,4,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,128,128,5,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,128,128,6,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,128,128,7,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,128,128,8,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,128,256,2,mixed-seed-outcome,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30005,30006,30007,30008",30004,,
35,128,256,3,mixed-seed-outcome,"20001,20002,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30005,30006,30007,30008","20003,30004",,
35,128,256,4,mixed-seed-outcome,"20001,20002,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20015,20016,30001,30002,30003,30005,30006,30007,30008","20003,20014,30004",,
35,128,256,5,mixed-seed-outcome,"20001,20002,20004,20005,20006,20007,20009,20010,20011,20012,20013,20015,20016,30001,30002,30003,30005,30006,30007,30008","20003,20008,20014,30004",,
35,128,256,6,mixed-seed-outcome,"20004,20005,20006,20007,20009,20011,20012,20013,20015,20016,30001,30002,30003,30005,30006,30007,30008","20001,20002,20003,20008,20010,20014,30004",,
35,128,256,7,mixed-seed-outcome,"20007,20012,20013,20015,30002,30003","20001,20002,20003,20004,20005,20006,20008,20009,20010,20011,20014,20016,30001,30004,30005,30006,30007,30008",,
35,128,256,8,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,128,512,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,128,512,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,128,512,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,128,512,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,128,512,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,128,512,7,mixed-seed-outcome,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20016,30001,30002,30003,30004,30005,30006,30007,30008",20015,,
35,128,512,8,mixed-seed-outcome,"20001,20002,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20016,30001,30002,30003,30004,30005,30006,30007,30008","20003,20015",,
35,256,128,2,mixed-seed-outcome,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30004,30005,30006,30007,30008",30003,,
35,256,128,3,mixed-seed-outcome,"20001,20002,20003,20004,20005,20006,20008,20009,20010,20011,20012,20013,20014,20016,30002,30004,30005,30006,30007,30008","20007,20015,30001,30003",,
35,256,128,4,mixed-seed-outcome,"20003,20004,20005,20009,20010,20011,20012,20013,20014,30002,30004,30005,30006,30007","20001,20002,20006,20007,20008,20015,20016,30001,30003,30008",,
35,256,128,5,mixed-seed-outcome,"20003,20004,20005,20009,20010,20011,20012,20014,30002,30005,30006,30007","20001,20002,20006,20007,20008,20013,20015,20016,30001,30003,30004,30008",,
35,256,128,6,mixed-seed-outcome,"20004,20005,20009,20011,20012,20014,30001,30002,30005,30006","20001,20002,20003,20006,20007,20008,20010,20013,20015,20016,30003,30004,30007,30008",,
35,256,128,7,mixed-seed-outcome,"20009,20012,20014","20001,20002,20003,20004,20005,20006,20007,20008,20010,20011,20013,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,256,128,8,unsupported,,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,
35,256,256,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,256,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,256,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,256,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,256,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,256,7,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,256,8,mixed-seed-outcome,"20001,20002,20003,20004,20005,20006,20007,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",20008,,
35,256,512,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,512,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,512,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,512,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,512,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,512,7,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,256,512,8,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,128,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,128,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,128,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,128,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,128,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,128,7,mixed-seed-outcome,"20001,20002,20003,20004,20005,20006,20008,20009,20010,20011,20012,20013,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008","20007,20014",,
35,512,128,8,mixed-seed-outcome,"20001,20003,20004,20005,20006,20008,20009,20010,20011,20012,20013,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008","20002,20007,20014",,
35,512,256,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,256,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,256,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,256,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,256,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,256,7,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,256,8,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,2,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,3,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,4,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,5,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,6,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,7,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
35,512,512,8,supported,"20001,20002,20003,20004,20005,20006,20007,20008,20009,20010,20011,20012,20013,20014,20015,20016,30001,30002,30003,30004,30005,30006,30007,30008",,,
