study,control,value,seed,width,height,teams,ok,detail,tel:gauntlet.court.radial-width,tel:gauntlet.gate.width,tiles:stone,tel:gauntlet.home.tower-level,tiles:wheat,tiles:wood,tiles:algae,tiles:cherry,tel:gauntlet.partition.width,tel:gauntlet.home.towers,tel:gauntlet.home.farm-area,tel:gauntlet.court.wheat,tiles:orange,tiles:prune,sites4x4
ablation,wheat-amount,25,1,256,256,4,True,,34.56,7.0,4636,1.0,964,200,326,20,2.0,2.0,4753.0,19.0,20,20,8597
ablation,wheat-amount,50,1,256,256,4,True,,34.56,7.0,4636,1.0,1568,200,326,20,2.0,2.0,4753.0,38.0,20,20,8241
ablation,wheat-amount,75,1,256,256,4,True,,34.56,7.0,4636,1.0,2172,200,326,20,2.0,2.0,4753.0,57.0,20,20,7867
ablation,wheat-amount,125,1,256,256,4,True,,34.56,7.0,4636,1.0,3270,200,326,20,2.0,2.0,4753.0,67.5,20,20,7138
ablation,wheat-amount,150,1,256,256,4,True,,34.56,7.0,4636,1.0,3798,200,326,20,2.0,2.0,4753.0,67.5,20,20,6783
ablation,wheat-amount,175,1,256,256,4,True,,34.56,7.0,4636,1.0,4326,200,326,20,2.0,2.0,4753.0,67.5,20,20,6451
ablation,wheat-amount,200,1,256,256,4,True,,34.56,7.0,4636,1.0,4854,200,326,20,2.0,2.0,4753.0,67.5,20,20,6215
ablation,wheat-amount,225,1,256,256,4,True,,34.56,7.0,4636,1.0,5382,200,326,20,2.0,2.0,4753.0,67.5,20,20,6132
ablation,wheat-amount,250,1,256,256,4,True,,34.56,7.0,4636,1.0,5910,200,326,20,2.0,2.0,4753.0,67.5,20,20,6091
ablation,wheat-amount,275,1,256,256,4,True,,34.56,7.0,4636,1.0,6201,200,326,20,2.0,2.0,4753.0,67.5,20,20,6075
ablation,wheat-amount,300,1,256,256,4,True,,34.56,7.0,4636,1.0,6201,200,326,20,2.0,2.0,4753.0,67.5,20,20,6075
ablation,wood-amount,0,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,120,326,20,2.0,2.0,4753.0,67.5,20,20,7580
ablation,wood-amount,25,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,140,326,20,2.0,2.0,4753.0,67.5,20,20,7560
ablation,wood-amount,50,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,160,326,20,2.0,2.0,4753.0,67.5,20,20,7540
ablation,wood-amount,75,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,180,326,20,2.0,2.0,4753.0,67.5,20,20,7517
ablation,wood-amount,125,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,220,326,20,2.0,2.0,4753.0,67.5,20,20,7481
ablation,wood-amount,150,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,240,326,20,2.0,2.0,4753.0,67.5,20,20,7463
ablation,wood-amount,175,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,260,326,20,2.0,2.0,4753.0,67.5,20,20,7442
ablation,wood-amount,200,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,280,326,20,2.0,2.0,4753.0,67.5,20,20,7426
ablation,wood-amount,225,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,300,326,20,2.0,2.0,4753.0,67.5,20,20,7407
ablation,wood-amount,250,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,320,326,20,2.0,2.0,4753.0,67.5,20,20,7391
ablation,wood-amount,275,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,340,326,20,2.0,2.0,4753.0,67.5,20,20,7372
ablation,wood-amount,300,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,360,326,20,2.0,2.0,4753.0,67.5,20,20,7354
ablation,algae-amount,0,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,0,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,25,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,78,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,50,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,160,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,75,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,238,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,125,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,406,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,150,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,495,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,175,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,582,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,200,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,660,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,225,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,743,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,250,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,827,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,275,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,908,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,algae-amount,300,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,983,20,2.0,2.0,4753.0,67.5,20,20,7501
ablation,fruit-amount,0,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,0,2.0,2.0,4753.0,67.5,0,0,7636
ablation,fruit-amount,25,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,4,2.0,2.0,4753.0,67.5,4,4,7614
ablation,fruit-amount,50,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,12,2.0,2.0,4753.0,67.5,12,12,7562
ablation,fruit-amount,75,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,16,2.0,2.0,4753.0,67.5,16,16,7533
ablation,fruit-amount,125,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,24,2.0,2.0,4753.0,67.5,24,24,7480
ablation,fruit-amount,150,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,32,2.0,2.0,4753.0,67.5,32,32,7438
ablation,fruit-amount,175,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,36,2.0,2.0,4753.0,67.5,36,36,7420
ablation,fruit-amount,200,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,40,2.0,2.0,4753.0,67.5,40,40,7408
ablation,fruit-amount,225,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,44,2.0,2.0,4753.0,67.5,44,44,7396
ablation,fruit-amount,250,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,52,2.0,2.0,4753.0,67.5,52,52,7372
ablation,fruit-amount,275,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,56,2.0,2.0,4753.0,67.5,56,56,7360
ablation,fruit-amount,300,1,256,256,4,True,,34.56,7.0,4636,1.0,2742,200,326,60,2.0,2.0,4753.0,67.5,60,60,7348
baseline,,0,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,court-size,80,2,256,256,4,True,,30.0,7.0,4484,1.0,2949,200,353,20,2.0,2.0,5330.0,55.25,20,20,5468
ablation,court-size,90,2,256,256,4,True,,31.104,7.0,4508,1.0,2885,200,347,20,2.0,2.0,5187.0,55.25,20,20,5840
ablation,court-size,110,2,256,256,4,True,,38.016000000000005,7.0,4668,1.0,2485,200,311,20,2.0,2.0,4286.0,55.25,20,20,8023
ablation,court-size,120,2,256,256,4,True,,41.47200000000001,7.0,4668,1.0,2293,200,291,20,2.0,2.0,3814.0,60.25,20,20,8905
ablation,gate-width,5,2,256,256,4,True,,34.56,5.0,4600,1.0,2693,200,316,20,2.0,2.0,4754.0,55.25,20,20,7341
ablation,gate-width,9,2,256,256,4,True,,34.56,9.0,4472,1.0,2693,200,316,20,2.0,2.0,4754.0,55.25,20,20,6837
ablation,partition-wall,1,2,256,256,4,True,,34.56,7.0,4420,1.0,2693,200,316,20,1.0,2.0,4754.0,55.25,20,20,7172
ablation,partition-wall,3,2,256,256,4,True,,34.56,7.0,4644,1.0,2692,200,316,20,3.0,2.0,4754.0,55.0,20,20,7049
ablation,starting-towers,0,2,256,256,4,True,,34.56,7.0,4536,0.0,2693,200,316,20,2.0,0.0,4754.0,55.25,20,20,7165
ablation,starting-towers,2,2,256,256,4,True,,34.56,7.0,4536,2.0,2693,200,316,20,2.0,2.0,4754.0,55.25,20,20,7097
ablation,starting-towers,3,2,256,256,4,True,,34.56,7.0,4536,3.0,2693,200,316,20,2.0,2.0,4754.0,55.25,20,20,7131
ablation,wheat-amount,0,2,256,256,4,True,,34.56,7.0,4536,1.0,360,200,316,20,2.0,2.0,4754.0,0.0,20,20,8401
ablation,wheat-amount,25,2,256,256,4,True,,34.56,7.0,4536,1.0,964,200,316,20,2.0,2.0,4754.0,19.0,20,20,8060
ablation,wheat-amount,50,2,256,256,4,True,,34.56,7.0,4536,1.0,1568,200,316,20,2.0,2.0,4754.0,38.0,20,20,7719
ablation,wheat-amount,75,2,256,256,4,True,,34.56,7.0,4536,1.0,2159,200,316,20,2.0,2.0,4754.0,53.75,20,20,7390
ablation,wheat-amount,125,2,256,256,4,True,,34.56,7.0,4536,1.0,3221,200,316,20,2.0,2.0,4754.0,55.25,20,20,6785
ablation,wheat-amount,150,2,256,256,4,True,,34.56,7.0,4536,1.0,3749,200,316,20,2.0,2.0,4754.0,55.25,20,20,6579
ablation,wheat-amount,175,2,256,256,4,True,,34.56,7.0,4536,1.0,4277,200,316,20,2.0,2.0,4754.0,55.25,20,20,6410
ablation,wheat-amount,200,2,256,256,4,True,,34.56,7.0,4536,1.0,4805,200,316,20,2.0,2.0,4754.0,55.25,20,20,6329
ablation,wheat-amount,225,2,256,256,4,True,,34.56,7.0,4536,1.0,5333,200,316,20,2.0,2.0,4754.0,55.25,20,20,6234
ablation,wheat-amount,250,2,256,256,4,True,,34.56,7.0,4536,1.0,5757,200,316,20,2.0,2.0,4754.0,55.25,20,20,6214
ablation,wheat-amount,275,2,256,256,4,True,,34.56,7.0,4536,1.0,5757,200,316,20,2.0,2.0,4754.0,55.25,20,20,6214
ablation,wheat-amount,300,2,256,256,4,True,,34.56,7.0,4536,1.0,5757,200,316,20,2.0,2.0,4754.0,55.25,20,20,6214
ablation,wood-amount,0,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,120,316,20,2.0,2.0,4754.0,55.25,20,20,7149
ablation,wood-amount,25,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,140,316,20,2.0,2.0,4754.0,55.25,20,20,7129
ablation,wood-amount,50,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,160,316,20,2.0,2.0,4754.0,55.25,20,20,7113
ablation,wood-amount,75,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,180,316,20,2.0,2.0,4754.0,55.25,20,20,7099
ablation,wood-amount,125,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,220,316,20,2.0,2.0,4754.0,55.25,20,20,7072
ablation,wood-amount,150,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,240,316,20,2.0,2.0,4754.0,55.25,20,20,7058
ablation,wood-amount,175,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,260,316,20,2.0,2.0,4754.0,55.25,20,20,7044
ablation,wood-amount,200,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,280,316,20,2.0,2.0,4754.0,55.25,20,20,7035
ablation,wood-amount,225,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,300,316,20,2.0,2.0,4754.0,55.25,20,20,7024
ablation,wood-amount,250,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,320,316,20,2.0,2.0,4754.0,55.25,20,20,7018
ablation,wood-amount,275,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,340,316,20,2.0,2.0,4754.0,55.25,20,20,7005
ablation,wood-amount,300,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,360,316,20,2.0,2.0,4754.0,55.25,20,20,7001
ablation,algae-amount,0,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,0,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,25,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,70,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,50,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,149,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,75,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,226,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,125,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,397,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,150,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,475,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,175,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,551,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,200,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,628,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,225,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,711,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,250,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,788,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,275,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,862,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,algae-amount,300,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,934,20,2.0,2.0,4754.0,55.25,20,20,7085
ablation,fruit-amount,0,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,0,2.0,2.0,4754.0,55.25,0,0,7173
ablation,fruit-amount,25,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,4,2.0,2.0,4754.0,55.25,4,4,7157
ablation,fruit-amount,50,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,12,2.0,2.0,4754.0,55.25,12,12,7122
ablation,fruit-amount,75,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,16,2.0,2.0,4754.0,55.25,16,16,7101
ablation,fruit-amount,125,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,24,2.0,2.0,4754.0,55.25,24,24,7063
ablation,fruit-amount,150,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,32,2.0,2.0,4754.0,55.25,32,32,7021
ablation,fruit-amount,175,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,36,2.0,2.0,4754.0,55.25,36,36,7004
ablation,fruit-amount,200,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,40,2.0,2.0,4754.0,55.25,40,40,6980
ablation,fruit-amount,225,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,44,2.0,2.0,4754.0,55.25,44,44,6968
ablation,fruit-amount,250,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,52,2.0,2.0,4754.0,55.25,52,52,6938
ablation,fruit-amount,275,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,56,2.0,2.0,4754.0,55.25,56,56,6923
ablation,fruit-amount,300,2,256,256,4,True,,34.56,7.0,4536,1.0,2693,200,316,60,2.0,2.0,4754.0,55.25,60,60,6908
baseline,,0,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,court-size,80,3,256,256,4,True,,30.0,7.0,4532,1.0,2830,200,365,20,2.0,2.0,5328.0,25.5,20,20,5941
ablation,court-size,90,3,256,256,4,True,,31.104,7.0,4556,1.0,2766,200,359,20,2.0,2.0,5189.0,25.5,20,20,6286
ablation,court-size,110,3,256,256,4,True,,38.016000000000005,7.0,4688,1.0,2366,200,303,20,2.0,2.0,4288.0,25.5,20,20,8549
ablation,court-size,120,3,256,256,4,True,,41.47200000000001,7.0,4684,1.0,2174,200,295,20,2.0,2.0,3815.0,30.5,20,20,9395
ablation,gate-width,5,3,256,256,4,True,,34.56,5.0,4652,1.0,2578,200,321,20,2.0,2.0,4761.0,25.5,20,20,7868
ablation,gate-width,9,3,256,256,4,True,,34.56,9.0,4536,1.0,2578,200,321,20,2.0,2.0,4761.0,25.5,20,20,7321
ablation,partition-wall,1,3,256,256,4,True,,34.56,7.0,4504,1.0,2578,200,321,20,1.0,2.0,4761.0,25.5,20,20,7670
ablation,partition-wall,3,3,256,256,4,True,,34.56,7.0,4720,1.0,2578,200,321,20,3.0,2.0,4761.0,25.5,20,20,7498
ablation,starting-towers,0,3,256,256,4,True,,34.56,7.0,4596,0.0,2578,200,321,20,2.0,0.0,4761.0,25.5,20,20,7676
ablation,starting-towers,2,3,256,256,4,True,,34.56,7.0,4596,2.0,2578,200,321,20,2.0,2.0,4761.0,25.5,20,20,7602
ablation,starting-towers,3,3,256,256,4,True,,34.56,7.0,4596,3.0,2578,200,321,20,2.0,2.0,4761.0,25.5,20,20,7640
ablation,wheat-amount,0,3,256,256,4,True,,34.56,7.0,4596,1.0,360,200,321,20,2.0,2.0,4761.0,0.0,20,20,8936
ablation,wheat-amount,25,3,256,256,4,True,,34.56,7.0,4596,1.0,964,200,321,20,2.0,2.0,4761.0,19.0,20,20,8601
ablation,wheat-amount,50,3,256,256,4,True,,34.56,7.0,4596,1.0,1522,200,321,20,2.0,2.0,4761.0,25.5,20,20,8276
ablation,wheat-amount,75,3,256,256,4,True,,34.56,7.0,4596,1.0,2050,200,321,20,2.0,2.0,4761.0,25.5,20,20,7930
ablation,wheat-amount,125,3,256,256,4,True,,34.56,7.0,4596,1.0,3106,200,321,20,2.0,2.0,4761.0,25.5,20,20,7250
ablation,wheat-amount,150,3,256,256,4,True,,34.56,7.0,4596,1.0,3638,200,321,20,2.0,2.0,4761.0,25.5,20,20,6942
ablation,wheat-amount,175,3,256,256,4,True,,34.56,7.0,4596,1.0,4166,200,321,20,2.0,2.0,4761.0,25.5,20,20,6759
ablation,wheat-amount,200,3,256,256,4,True,,34.56,7.0,4596,1.0,4694,200,321,20,2.0,2.0,4761.0,25.5,20,20,6643
ablation,wheat-amount,225,3,256,256,4,True,,34.56,7.0,4596,1.0,5222,200,321,20,2.0,2.0,4761.0,25.5,20,20,6574
ablation,wheat-amount,250,3,256,256,4,True,,34.56,7.0,4596,1.0,5718,200,321,20,2.0,2.0,4761.0,25.5,20,20,6536
ablation,wheat-amount,275,3,256,256,4,True,,34.56,7.0,4596,1.0,5751,200,321,20,2.0,2.0,4761.0,25.5,20,20,6536
ablation,wheat-amount,300,3,256,256,4,True,,34.56,7.0,4596,1.0,5751,200,321,20,2.0,2.0,4761.0,25.5,20,20,6536
ablation,wood-amount,0,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,120,321,20,2.0,2.0,4761.0,25.5,20,20,7655
ablation,wood-amount,25,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,140,321,20,2.0,2.0,4761.0,25.5,20,20,7640
ablation,wood-amount,50,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,160,321,20,2.0,2.0,4761.0,25.5,20,20,7624
ablation,wood-amount,75,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,180,321,20,2.0,2.0,4761.0,25.5,20,20,7609
ablation,wood-amount,125,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,220,321,20,2.0,2.0,4761.0,25.5,20,20,7580
ablation,wood-amount,150,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,240,321,20,2.0,2.0,4761.0,25.5,20,20,7564
ablation,wood-amount,175,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,260,321,20,2.0,2.0,4761.0,25.5,20,20,7555
ablation,wood-amount,200,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,280,321,20,2.0,2.0,4761.0,25.5,20,20,7540
ablation,wood-amount,225,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,300,321,20,2.0,2.0,4761.0,25.5,20,20,7525
ablation,wood-amount,250,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,320,321,20,2.0,2.0,4761.0,25.5,20,20,7515
ablation,wood-amount,275,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,340,321,20,2.0,2.0,4761.0,25.5,20,20,7500
ablation,wood-amount,300,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,360,321,20,2.0,2.0,4761.0,25.5,20,20,7494
ablation,algae-amount,0,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,0,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,25,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,86,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,50,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,164,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,75,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,244,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,125,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,390,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,150,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,470,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,175,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,549,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,200,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,633,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,225,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,707,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,250,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,775,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,275,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,847,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,algae-amount,300,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,917,20,2.0,2.0,4761.0,25.5,20,20,7592
ablation,fruit-amount,0,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,0,2.0,2.0,4761.0,25.5,0,0,7708
ablation,fruit-amount,25,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,4,2.0,2.0,4761.0,25.5,4,4,7682
ablation,fruit-amount,50,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,12,2.0,2.0,4761.0,25.5,12,12,7628
ablation,fruit-amount,75,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,16,2.0,2.0,4761.0,25.5,16,16,7610
ablation,fruit-amount,125,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,24,2.0,2.0,4761.0,25.5,24,24,7574
ablation,fruit-amount,150,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,32,2.0,2.0,4761.0,25.5,32,32,7542
ablation,fruit-amount,175,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,36,2.0,2.0,4761.0,25.5,36,36,7522
ablation,fruit-amount,200,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,40,2.0,2.0,4761.0,25.5,40,40,7506
ablation,fruit-amount,225,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,44,2.0,2.0,4761.0,25.5,44,44,7488
ablation,fruit-amount,250,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,52,2.0,2.0,4761.0,25.5,52,52,7450
ablation,fruit-amount,275,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,56,2.0,2.0,4761.0,25.5,56,56,7437
ablation,fruit-amount,300,3,256,256,4,True,,34.56,7.0,4596,1.0,2578,200,321,60,2.0,2.0,4761.0,25.5,60,60,7418
baseline,,0,4,256,256,4,True,,34.56,7.0,4520,1.0,2709,200,336,20,2.0,2.0,4760.0,59.25,20,20,7219
ablation,court-size,80,4,256,256,4,True,,30.0,7.0,4456,1.0,2961,200,344,20,2.0,2.0,5327.0,59.25,20,20,5713
ablation,court-size,90,4,256,256,4,True,,31.104,7.0,4460,1.0,2901,200,356,20,2.0,2.0,5191.0,59.25,20,20,6042
ablation,court-size,110,4,256,256,4,True,,38.016000000000005,7.0,4632,1.0,2572,200,308,20,2.0,2.0,4293.0,76.0,20,20,7942
ablation,court-size,120,4,256,256,4,True,,41.47200000000001,7.0,4636,1.0,2356,200,305,20,2.0,2.0,3814.0,76.0,20,20,8503
ablation,gate-width,5,4,256,256,4,True,,34.56,5.0,4576,1.0,2709,200,336,20,2.0,2.0,4760.0,59.25,20,20,7488
ablation,gate-width,9,4,256,256,4,True,,34.56,9.0,4452,1.0,2709,200,336,20,2.0,2.0,4760.0,59.25,20,20,6937
ablation,partition-wall,1,4,256,256,4,True,,34.56,7.0,4396,1.0,2711,200,336,20,1.0,2.0,4760.0,59.75,20,20,7276
ablation,partition-wall,3,4,256,256,4,True,,34.56,7.0,4624,1.0,2709,200,336,20,3.0,2.0,4760.0,59.25,20,20,7153
ablation,starting-towers,0,4,256,256,4,True,,34.56,7.0,4520,0.0,2709,200,336,20,2.0,0.0,4760.0,59.25,20,20,7304
ablation,starting-towers,2,4,256,256,4,True,,34.56,7.0,4520,2.0,2709,200,336,20,2.0,2.0,4760.0,59.25,20,20,7254
