experiment,case,ai,team,tick,units,buildings,critical,hungry,critical_share,harvested_wheat,harvested_wood,harvested_fruit,meals,starvation_deaths
lava-shield-initial-playtest-20260915,default,nicowar,2,5120,12,2,0,1,0.0,63,7,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,3,5120,13,2,0,0,0.0,82,3,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,0,5632,14,3,0,3,0.0,100,10,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,1,5632,19,3,1,3,0.05263157894736842,140,3,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,2,5632,12,3,2,4,0.16666666666666666,70,11,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,3,5632,15,2,2,2,0.13333333333333333,96,3,0,1,0
lava-shield-initial-playtest-20260915,default,nicowar,0,6144,14,4,0,0,0.0,112,10,0,4,0
lava-shield-initial-playtest-20260915,default,nicowar,1,6144,24,3,2,2,0.08333333333333333,161,9,0,3,0
lava-shield-initial-playtest-20260915,default,nicowar,2,6144,13,3,2,2,0.15384615384615385,77,11,0,3,0
lava-shield-initial-playtest-20260915,default,nicowar,3,6144,16,2,1,2,0.0625,111,3,0,2,0
lava-shield-initial-playtest-20260915,default,nicowar,0,6656,18,4,1,1,0.05555555555555555,134,10,0,4,0
lava-shield-initial-playtest-20260915,default,nicowar,1,6656,28,4,1,2,0.03571428571428571,185,17,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,2,6656,13,3,0,0,0.0,90,11,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,3,6656,16,3,1,2,0.0625,125,3,0,3,0
lava-shield-initial-playtest-20260915,default,nicowar,0,7168,21,4,1,2,0.047619047619047616,155,13,0,4,0
lava-shield-initial-playtest-20260915,default,nicowar,1,7168,31,5,1,2,0.03225806451612903,212,26,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,2,7168,14,3,0,0,0.0,105,11,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,3,7168,19,3,1,2,0.05263157894736842,141,3,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,0,7680,24,5,0,1,0.0,178,16,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,1,7680,36,6,0,1,0.0,238,28,0,7,0
lava-shield-initial-playtest-20260915,default,nicowar,2,7680,15,4,0,0,0.0,119,11,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,3,7680,22,4,1,3,0.045454545454545456,160,6,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,0,8192,25,5,0,4,0.0,199,19,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,1,8192,40,6,0,2,0.0,278,28,0,7,0
lava-shield-initial-playtest-20260915,default,nicowar,2,8192,18,4,1,4,0.05555555555555555,132,11,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,3,8192,24,4,0,2,0.0,187,9,0,7,0
lava-shield-initial-playtest-20260915,default,nicowar,0,8704,27,6,1,3,0.037037037037037035,225,24,0,7,0
lava-shield-initial-playtest-20260915,default,nicowar,1,8704,45,7,1,5,0.022222222222222223,310,31,0,7,0
lava-shield-initial-playtest-20260915,default,nicowar,2,8704,19,4,1,4,0.05263157894736842,148,11,0,5,0
lava-shield-initial-playtest-20260915,default,nicowar,3,8704,27,5,1,2,0.037037037037037035,219,16,0,8,0
lava-shield-initial-playtest-20260915,default,nicowar,0,9216,30,8,0,1,0.0,244,33,0,10,0
lava-shield-initial-playtest-20260915,default,nicowar,1,9216,48,8,1,4,0.020833333333333332,347,37,0,9,0
lava-shield-initial-playtest-20260915,default,nicowar,2,9216,23,5,0,0,0.0,173,15,0,9,0
lava-shield-initial-playtest-20260915,default,nicowar,3,9216,29,6,1,1,0.034482758620689655,243,21,0,10,0
lava-shield-initial-playtest-20260915,default,nicowar,0,9728,33,8,0,0,0.0,264,40,0,11,0
lava-shield-initial-playtest-20260915,default,nicowar,1,9728,56,9,0,5,0.0,378,46,0,10,0
lava-shield-initial-playtest-20260915,default,nicowar,2,9728,24,5,0,0,0.0,199,20,0,9,0
lava-shield-initial-playtest-20260915,default,nicowar,3,9728,32,7,1,1,0.03125,265,30,0,10,0
lava-shield-initial-playtest-20260915,default,nicowar,0,10240,36,9,1,2,0.027777777777777776,286,50,0,11,0
lava-shield-initial-playtest-20260915,default,nicowar,1,10240,62,10,1,5,0.016129032258064516,417,47,0,13,0
lava-shield-initial-playtest-20260915,default,nicowar,2,10240,27,5,2,2,0.07407407407407407,223,20,0,9,0
lava-shield-initial-playtest-20260915,default,nicowar,3,10240,36,8,1,2,0.027777777777777776,291,35,0,11,0
lava-shield-initial-playtest-20260915,default,nicowar,0,10752,40,11,1,2,0.025,308,58,0,12,0
lava-shield-initial-playtest-20260915,default,nicowar,1,10752,69,9,4,6,0.057971014492753624,462,49,2,14,0
lava-shield-initial-playtest-20260915,default,nicowar,2,10752,29,6,2,2,0.06896551724137931,248,20,0,9,0
lava-shield-initial-playtest-20260915,default,nicowar,3,10752,41,8,2,3,0.04878048780487805,314,43,0,11,0
lava-shield-initial-playtest-20260915,default,nicowar,0,11264,44,11,0,1,0.0,330,67,0,14,0
lava-shield-initial-playtest-20260915,default,nicowar,1,11264,76,10,6,7,0.07894736842105263,499,50,2,15,0
lava-shield-initial-playtest-20260915,default,nicowar,2,11264,32,7,1,2,0.03125,269,28,0,10,0
lava-shield-initial-playtest-20260915,default,nicowar,3,11264,47,9,4,6,0.0851063829787234,345,46,0,12,0
lava-shield-initial-playtest-20260915,default,nicowar,0,11776,51,12,4,7,0.0784313725490196,355,69,0,14,0
lava-shield-initial-playtest-20260915,default,nicowar,1,11776,78,11,7,8,0.08974358974358974,530,59,2,19,0
lava-shield-initial-playtest-20260915,default,nicowar,2,11776,37,7,3,3,0.08108108108108109,295,34,0,12,0
lava-shield-initial-playtest-20260915,default,nicowar,3,11776,51,11,4,5,0.0784313725490196,372,51,0,15,0
lava-shield-initial-playtest-20260915,default,nicowar,0,12288,54,13,5,8,0.09259259259259259,380,71,0,16,0
lava-shield-initial-playtest-20260915,default,nicowar,1,12288,82,12,4,5,0.04878048780487805,563,62,3,23,0
lava-shield-initial-playtest-20260915,default,nicowar,2,12288,41,7,4,7,0.0975609756097561,321,38,0,12,0
lava-shield-initial-playtest-20260915,default,nicowar,3,12288,57,11,4,5,0.07017543859649122,406,54,0,18,0
lava-shield-initial-playtest-20260915,default,nicowar,0,12800,55,13,8,11,0.14545454545454545,412,72,0,18,0
lava-shield-initial-playtest-20260915,default,nicowar,1,12800,85,13,7,9,0.08235294117647059,598,72,3,25,0
lava-shield-initial-playtest-20260915,default,nicowar,2,12800,48,8,2,5,0.041666666666666664,353,39,0,16,0
lava-shield-initial-playtest-20260915,default,nicowar,3,12800,66,11,7,9,0.10606060606060606,449,54,0,20,0
lava-shield-initial-playtest-20260915,default,nicowar,0,13312,59,14,5,6,0.0847457627118644,441,73,0,24,0
lava-shield-initial-playtest-20260915,default,nicowar,1,13312,90,14,6,8,0.06666666666666667,634,75,5,27,0
lava-shield-initial-playtest-20260915,default,nicowar,2,13312,56,9,6,8,0.10714285714285714,384,44,0,17,0
lava-shield-initial-playtest-20260915,default,nicowar,3,13312,70,11,9,10,0.12857142857142856,481,55,2,22,0
lava-shield-initial-playtest-20260915,default,nicowar,0,13824,64,15,6,7,0.09375,471,80,0,26,0
lava-shield-initial-playtest-20260915,default,nicowar,1,13824,90,14,6,9,0.06666666666666667,660,78,8,30,0
lava-shield-initial-playtest-20260915,default,nicowar,2,13824,63,10,5,6,0.07936507936507936,416,52,0,22,0
lava-shield-initial-playtest-20260915,default,nicowar,3,13824,72,13,9,9,0.125,511,60,2,23,0
lava-shield-initial-playtest-20260915,default,nicowar,0,14336,66,16,9,10,0.13636363636363635,492,85,3,27,0
lava-shield-initial-playtest-20260915,default,nicowar,1,14336,91,16,8,10,0.08791208791208792,682,85,9,32,1
lava-shield-initial-playtest-20260915,default,nicowar,2,14336,68,10,10,11,0.14705882352941177,444,57,2,22,0
lava-shield-initial-playtest-20260915,default,nicowar,3,14336,75,15,11,12,0.14666666666666667,545,68,2,26,0
lava-shield-initial-playtest-20260915,default,nicowar,0,14848,68,16,7,8,0.10294117647058823,519,86,4,30,0
lava-shield-initial-playtest-20260915,default,nicowar,1,14848,95,19,11,16,0.11578947368421053,696,92,9,33,2
lava-shield-initial-playtest-20260915,default,nicowar,2,14848,68,11,10,13,0.14705882352941177,453,69,2,24,0
lava-shield-initial-playtest-20260915,default,nicowar,3,14848,79,14,10,11,0.12658227848101267,578,77,2,31,0
lava-shield-initial-playtest-20260915,default,nicowar,0,15360,73,16,8,9,0.1095890410958904,541,90,4,35,0
lava-shield-initial-playtest-20260915,default,nicowar,1,15360,95,21,15,22,0.15789473684210525,703,98,9,35,2
lava-shield-initial-playtest-20260915,default,nicowar,2,15360,66,12,10,12,0.15151515151515152,466,71,2,25,0
lava-shield-initial-playtest-20260915,default,nicowar,3,15360,82,15,7,8,0.08536585365853659,613,83,2,36,0
lava-shield-initial-playtest-20260915,default,nicowar,0,15872,76,16,8,11,0.10526315789473684,565,91,5,36,0
lava-shield-initial-playtest-20260915,default,nicowar,1,15872,93,22,15,22,0.16129032258064516,711,98,10,37,3
lava-shield-initial-playtest-20260915,default,nicowar,2,15872,67,15,13,14,0.19402985074626866,485,76,2,28,0
lava-shield-initial-playtest-20260915,default,nicowar,3,15872,86,17,7,9,0.08139534883720931,644,90,2,37,0
lava-shield-initial-playtest-20260915,default,numbi,0,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,512,4,1,0,0,0.0,4,2,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,512,4,1,0,0,0.0,3,1,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,512,4,1,0,0,0.0,3,2,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,512,4,1,0,0,0.0,3,1,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,1024,4,1,0,0,0.0,7,4,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,1024,5,1,0,0,0.0,7,4,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,1024,5,1,0,0,0.0,7,3,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,1024,4,1,0,0,0.0,6,4,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,1536,5,2,0,0,0.0,13,5,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,1536,5,2,0,0,0.0,11,5,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,1536,5,2,0,0,0.0,10,5,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,1536,5,2,0,0,0.0,9,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,2048,5,3,0,0,0.0,21,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,2048,5,2,0,0,0.0,19,5,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,2048,6,2,0,0,0.0,15,5,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,2048,6,3,0,0,0.0,15,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,2560,6,3,0,0,0.0,27,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,2560,6,3,0,0,0.0,24,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,2560,6,2,0,0,0.0,20,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,2560,6,3,0,0,0.0,22,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,3072,7,3,0,0,0.0,36,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,3072,7,3,0,0,0.0,32,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,3072,7,3,0,0,0.0,28,6,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,3072,6,3,0,0,0.0,23,7,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,3584,8,3,0,0,0.0,42,7,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,3584,8,3,0,0,0.0,40,7,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,3584,8,3,0,0,0.0,34,7,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,3584,6,3,0,0,0.0,25,11,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,4096,10,3,0,0,0.0,48,8,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,4096,10,3,0,1,0.0,49,8,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,2,4096,9,3,0,1,0.0,39,9,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,4096,6,4,0,0,0.0,27,12,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,4608,10,4,0,0,0.0,50,11,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,4608,11,4,0,0,0.0,57,9,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,2,4608,9,5,0,1,0.0,41,12,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,3,4608,6,4,0,0,0.0,30,13,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,5120,10,4,0,0,0.0,52,13,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,5120,12,4,0,3,0.0,66,9,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,2,5120,9,5,0,2,0.0,44,12,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,3,5120,6,4,0,1,0.0,31,16,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,0,5632,10,4,1,3,0.1,55,14,0,0,0
lava-shield-initial-playtest-20260915,default,numbi,1,5632,14,4,0,4,0.0,77,11,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,2,5632,9,5,0,4,0.0,46,12,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,3,5632,6,4,0,3,0.0,32,18,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,0,6144,10,4,0,1,0.0,57,16,0,2,0
lava-shield-initial-playtest-20260915,default,numbi,1,6144,15,5,0,0,0.0,88,12,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,2,6144,9,5,0,1,0.0,49,12,0,4,0
lava-shield-initial-playtest-20260915,default,numbi,3,6144,6,5,0,3,0.0,34,19,0,1,0
lava-shield-initial-playtest-20260915,default,numbi,0,6656,10,5,0,2,0.0,60,17,0,3,0
lava-shield-initial-playtest-20260915,default,numbi,1,6656,16,5,0,0,0.0,101,12,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,2,6656,9,5,0,0,0.0,52,12,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,3,6656,7,5,0,1,0.0,36,21,0,4,0
lava-shield-initial-playtest-20260915,default,numbi,0,7168,10,5,0,0,0.0,63,18,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,1,7168,17,5,0,0,0.0,110,12,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,2,7168,9,5,0,0,0.0,54,12,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,3,7168,7,5,0,1,0.0,40,22,0,4,0
lava-shield-initial-playtest-20260915,default,numbi,0,7680,10,5,0,0,0.0,65,20,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,1,7680,18,5,0,2,0.0,119,13,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,2,7680,9,5,0,1,0.0,57,12,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,3,7680,7,5,0,1,0.0,42,23,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,0,8192,10,6,0,1,0.0,67,22,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,1,8192,19,5,0,2,0.0,124,15,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,2,8192,9,5,0,2,0.0,59,12,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,3,8192,7,5,0,0,0.0,44,26,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,8704,10,7,0,2,0.0,70,22,0,5,0
lava-shield-initial-playtest-20260915,default,numbi,1,8704,20,6,0,1,0.0,135,15,0,7,0
lava-shield-initial-playtest-20260915,default,numbi,2,8704,9,5,0,3,0.0,60,13,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,3,8704,7,8,0,0,0.0,51,28,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,9216,10,7,0,2,0.0,73,22,0,7,0
lava-shield-initial-playtest-20260915,default,numbi,1,9216,22,6,0,2,0.0,144,19,0,7,0
lava-shield-initial-playtest-20260915,default,numbi,2,9216,9,5,0,1,0.0,63,14,0,9,0
lava-shield-initial-playtest-20260915,default,numbi,3,9216,8,8,0,0,0.0,59,29,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,9728,10,7,0,1,0.0,75,22,0,8,0
lava-shield-initial-playtest-20260915,default,numbi,1,9728,23,7,0,3,0.0,155,22,0,8,0
lava-shield-initial-playtest-20260915,default,numbi,2,9728,10,5,0,1,0.0,69,15,0,9,0
lava-shield-initial-playtest-20260915,default,numbi,3,9728,10,8,0,0,0.0,66,31,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,10240,10,7,0,1,0.0,78,22,0,9,0
lava-shield-initial-playtest-20260915,default,numbi,1,10240,24,7,0,2,0.0,164,23,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,2,10240,11,5,0,0,0.0,77,17,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,3,10240,10,8,0,0,0.0,70,34,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,10752,10,7,0,1,0.0,80,22,0,9,0
lava-shield-initial-playtest-20260915,default,numbi,1,10752,25,8,0,4,0.0,173,26,0,11,0
lava-shield-initial-playtest-20260915,default,numbi,2,10752,12,6,0,0,0.0,85,18,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,3,10752,10,8,0,0,0.0,71,39,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,11264,10,7,0,0,0.0,82,22,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,1,11264,25,8,0,6,0.0,174,27,0,13,0
lava-shield-initial-playtest-20260915,default,numbi,2,11264,13,6,0,2,0.0,91,19,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,3,11264,10,8,0,0,0.0,71,41,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,11776,10,7,1,2,0.1,82,22,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,1,11776,25,9,0,6,0.0,178,32,0,16,0
lava-shield-initial-playtest-20260915,default,numbi,2,11776,14,6,0,3,0.0,95,20,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,3,11776,10,9,0,1,0.0,71,43,0,6,0
lava-shield-initial-playtest-20260915,default,numbi,0,12288,10,7,1,3,0.1,82,22,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,1,12288,26,10,0,5,0.0,186,43,0,19,0
lava-shield-initial-playtest-20260915,default,numbi,2,12288,15,6,0,2,0.0,100,21,0,12,0
lava-shield-initial-playtest-20260915,default,numbi,3,12288,10,9,0,1,0.0,71,46,0,7,0
lava-shield-initial-playtest-20260915,default,numbi,0,12800,10,7,0,1,0.0,83,22,0,12,0
lava-shield-initial-playtest-20260915,default,numbi,1,12800,27,12,0,2,0.0,193,50,0,23,0
lava-shield-initial-playtest-20260915,default,numbi,2,12800,15,6,0,2,0.0,104,24,0,13,0
lava-shield-initial-playtest-20260915,default,numbi,3,12800,10,10,0,2,0.0,72,47,0,7,0
lava-shield-initial-playtest-20260915,default,numbi,0,13312,10,7,0,2,0.0,84,22,0,13,0
lava-shield-initial-playtest-20260915,default,numbi,1,13312,27,13,0,1,0.0,198,53,0,25,0
lava-shield-initial-playtest-20260915,default,numbi,2,13312,16,7,0,1,0.0,107,30,0,14,0
lava-shield-initial-playtest-20260915,default,numbi,3,13312,10,10,0,4,0.0,74,47,0,7,0
lava-shield-initial-playtest-20260915,default,numbi,0,13824,10,7,0,0,0.0,85,22,0,15,0
lava-shield-initial-playtest-20260915,default,numbi,1,13824,27,13,0,1,0.0,202,56,0,25,0
lava-shield-initial-playtest-20260915,default,numbi,2,13824,16,7,0,1,0.0,110,35,0,15,0
lava-shield-initial-playtest-20260915,default,numbi,3,13824,10,11,0,3,0.0,77,47,0,10,0
lava-shield-initial-playtest-20260915,default,numbi,0,14336,10,7,0,1,0.0,87,22,0,15,0
lava-shield-initial-playtest-20260915,default,numbi,1,14336,27,14,0,2,0.0,205,58,0,26,0
lava-shield-initial-playtest-20260915,default,numbi,2,14336,16,9,0,1,0.0,114,37,0,15,0
lava-shield-initial-playtest-20260915,default,numbi,3,14336,10,11,0,2,0.0,80,47,0,11,0
lava-shield-initial-playtest-20260915,default,numbi,0,14848,10,7,0,2,0.0,93,22,0,15,0
lava-shield-initial-playtest-20260915,default,numbi,1,14848,27,14,0,2,0.0,208,59,0,28,0
lava-shield-initial-playtest-20260915,default,numbi,2,14848,17,10,0,2,0.0,118,38,0,16,0
lava-shield-initial-playtest-20260915,default,numbi,3,14848,10,11,0,2,0.0,83,47,0,13,0
lava-shield-initial-playtest-20260915,default,numbi,0,15360,11,7,0,3,0.0,100,22,0,16,0
lava-shield-initial-playtest-20260915,default,numbi,1,15360,27,15,0,4,0.0,210,59,0,29,0
lava-shield-initial-playtest-20260915,default,numbi,2,15360,17,10,0,1,0.0,120,40,0,18,0
lava-shield-initial-playtest-20260915,default,numbi,3,15360,10,11,0,3,0.0,87,47,0,13,0
lava-shield-initial-playtest-20260915,default,numbi,0,15872,13,7,0,1,0.0,108,22,0,18,0
lava-shield-initial-playtest-20260915,default,numbi,1,15872,27,15,0,6,0.0,213,59,0,31,0
lava-shield-initial-playtest-20260915,default,numbi,2,15872,17,10,0,2,0.0,125,41,0,19,0
lava-shield-initial-playtest-20260915,default,numbi,3,15872,10,11,0,1,0.0,89,47,0,15,0
lava-shield-initial-playtest-20260915,default,maxima,0,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,1,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,2,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,3,0,0,0,0,0,0.0,0,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,0,512,4,1,0,0,0.0,5,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,1,512,4,1,0,0,0.0,4,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,2,512,4,1,0,0,0.0,4,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,3,512,4,1,0,0,0.0,4,0,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,0,1024,5,1,0,0,0.0,10,1,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,1,1024,5,1,0,0,0.0,9,1,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,2,1024,5,1,0,0,0.0,10,1,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,3,1024,5,1,0,0,0.0,9,1,0,0,0
lava-shield-initial-playtest-20260915,default,maxima,0,1536,6,1,0,0,0.0,15,2,0,0,0
