team,tick,workers,warriors,explorers,food_critical,need_food,swarms,inns
2,3072,6,1,1,0,0,1,1
3,3072,5,1,1,0,0,1,1
4,3072,5,1,1,0,0,1,1
5,3072,4,1,1,0,0,1,1
6,3072,5,1,1,0,0,1,1
7,3072,7,1,1,0,0,1,1
8,3072,6,1,1,0,0,1,2
9,3072,4,1,1,0,0,1,2
10,3072,6,1,1,0,0,1,2
11,3072,5,1,1,0,0,1,1
0,3584,7,1,1,0,0,1,2
1,3584,6,1,1,0,0,1,2
2,3584,7,1,1,0,0,1,1
3,3584,6,1,1,0,0,1,1
4,3584,5,1,1,0,0,1,1
5,3584,5,1,1,0,0,1,1
6,3584,6,1,1,0,0,1,2
7,3584,7,2,1,0,0,1,1
8,3584,6,1,1,0,0,1,2
9,3584,5,1,1,0,0,1,2
10,3584,6,1,1,0,0,1,2
11,3584,6,1,1,0,0,1,2
0,4096,7,2,1,0,0,1,2
1,4096,7,1,1,0,0,1,2
2,4096,8,2,1,0,0,1,1
3,4096,7,2,1,0,0,1,1
4,4096,6,1,1,0,0,1,1
5,4096,6,1,1,0,0,1,1
6,4096,7,1,1,0,0,1,2
7,4096,8,2,1,0,0,1,1
8,4096,7,1,1,0,0,1,2
9,4096,6,1,1,0,0,2,2
10,4096,7,1,1,0,0,2,2
11,4096,7,1,1,0,0,2,2
0,4608,8,2,1,0,0,2,2
1,4608,7,2,1,0,1,1,2
2,4608,10,2,1,0,0,1,1
3,4608,8,2,1,0,0,1,2
4,4608,7,1,1,0,1,1,1
5,4608,7,1,1,0,1,1,1
6,4608,7,2,1,0,0,1,2
7,4608,9,2,1,0,0,1,1
8,4608,7,2,1,0,1,2,2
9,4608,7,1,1,0,1,2,2
10,4608,7,2,1,0,0,2,2
11,4608,7,2,1,0,1,2,2
0,5120,9,2,1,0,0,2,2
1,5120,9,2,1,0,0,1,2
2,5120,10,3,2,0,1,1,1
3,5120,10,2,1,0,0,1,2
4,5120,7,2,1,0,2,1,1
5,5120,8,2,1,0,0,1,1
6,5120,8,2,1,0,0,1,2
7,5120,10,3,1,0,1,1,1
8,5120,7,2,1,0,1,2,2
9,5120,7,2,1,0,0,2,2
10,5120,8,2,1,0,1,2,2
11,5120,7,2,1,0,1,2,2
0,5632,9,2,1,0,0,2,2
1,5632,10,2,1,2,0,1,2
2,5632,10,3,2,0,0,1,1
3,5632,10,3,1,1,0,1,2
4,5632,8,2,1,0,1,1,1
5,5632,9,2,1,0,0,1,1
6,5632,10,2,1,0,1,1,2
7,5632,10,3,2,0,1,1,1
8,5632,8,2,1,1,0,2,2
9,5632,8,2,1,1,2,2,2
10,5632,8,2,1,0,0,2,2
11,5632,7,2,1,0,0,2,2
0,6144,10,2,1,0,0,2,2
1,6144,10,3,1,0,0,1,2
2,6144,11,3,2,1,0,1,1
3,6144,11,3,2,0,0,1,2
4,6144,9,2,1,0,0,1,1
5,6144,10,2,1,0,0,1,1
6,6144,10,2,1,0,0,1,2
7,6144,12,3,2,0,0,1,1
8,6144,8,2,1,0,0,2,2
9,6144,8,2,1,0,0,2,2
10,6144,9,2,1,0,0,2,2
11,6144,8,2,1,0,0,2,2
0,6656,10,2,1,0,1,2,2
1,6656,10,3,2,0,0,1,2
2,6656,13,3,2,0,0,1,2
3,6656,11,3,2,0,0,1,2
4,6656,10,2,1,0,0,1,1
5,6656,10,3,1,0,1,1,1
6,6656,10,3,1,0,1,1,2
7,6656,13,3,2,0,0,1,1
8,6656,9,2,1,0,0,2,2
9,6656,9,2,1,0,1,2,2
10,6656,10,2,1,0,0,2,2
11,6656,9,2,1,0,0,2,2
0,7168,10,3,1,0,0,2,2
1,7168,12,3,2,0,0,1,2
2,7168,14,4,2,1,0,1,2
3,7168,13,3,2,0,0,1,2
4,7168,10,3,1,0,0,1,1
5,7168,10,3,2,0,0,1,1
6,7168,11,3,2,0,0,1,2
7,7168,14,4,2,1,0,1,1
8,7168,10,2,1,0,0,2,2
9,7168,10,2,1,0,0,2,2
10,7168,10,3,1,0,0,2,2
11,7168,10,2,1,0,0,2,2
0,7680,10,3,2,0,0,1,1
1,7680,13,3,2,0,0,1,2
2,7680,15,4,2,0,0,1,2
3,7680,14,4,2,0,0,1,2
4,7680,11,3,2,1,0,1,1
5,7680,12,3,2,0,0,1,1
6,7680,13,3,2,0,1,1,2
7,7680,16,4,2,1,0,1,1
8,7680,10,3,1,0,0,2,2
9,7680,10,3,2,0,0,2,1
10,7680,11,3,2,0,0,2,1
11,7680,10,3,1,0,0,2,1
0,8192,11,4,3,0,1,1,1
1,8192,14,4,2,0,0,1,2
2,8192,16,4,2,0,2,1,2
3,8192,16,4,2,0,0,1,2
4,8192,13,3,2,0,0,1,1
5,8192,13,4,2,0,0,1,2
6,8192,13,4,2,0,1,1,2
7,8192,16,5,3,0,0,1,1
8,8192,11,3,2,0,0,2,2
9,8192,11,3,2,0,0,2,1
10,8192,12,4,2,0,0,1,1
11,8192,10,3,2,0,0,1,1
0,8704,13,5,3,0,0,1,1
1,8704,15,4,2,1,1,1,2
2,8704,16,5,3,1,0,1,2
3,8704,16,5,3,0,0,1,2
4,8704,13,4,2,0,1,1,2
5,8704,14,4,2,0,1,1,2
6,8704,15,4,2,0,0,1,2
7,8704,18,5,3,0,2,2,1
8,8704,12,4,2,0,1,1,2
9,8704,12,4,2,0,1,1,2
10,8704,14,4,3,0,1,1,1
11,8704,10,4,3,0,0,1,2
0,9216,16,5,3,0,0,1,1
1,9216,16,5,2,1,0,1,2
2,9216,17,5,3,0,1,1,3
3,9216,17,5,3,0,0,1,3
4,9216,15,4,2,0,1,1,2
5,9216,15,4,2,0,0,1,2
6,9216,16,5,2,0,0,1,2
7,9216,19,6,3,0,1,2,2
8,9216,14,4,3,0,0,1,2
9,9216,15,4,3,0,0,1,2
10,9216,17,5,3,0,0,1,1
11,9216,13,5,3,1,0,1,2
0,9728,18,6,4,0,0,1,1
1,9728,16,5,3,0,0,1,2
2,9728,19,5,3,1,0,1,3
3,9728,19,5,3,0,1,1,3
4,9728,16,5,2,1,0,1,2
5,9728,16,5,2,0,1,1,2
6,9728,17,5,3,0,1,1,2
7,9728,21,6,3,0,0,2,2
8,9728,16,5,3,0,0,1,2
9,9728,17,5,3,1,0,1,2
10,9728,18,6,4,0,0,1,1
11,9728,16,5,3,0,0,1,2
0,10240,19,7,4,0,2,1,1
1,10240,18,5,3,0,0,2,3
2,10240,19,6,3,1,0,1,3
3,10240,20,6,3,0,0,1,3
4,10240,17,5,3,0,1,1,2
5,10240,17,5,3,1,0,1,3
6,10240,18,5,3,0,0,1,3
7,10240,22,7,3,0,0,2,3
8,10240,18,6,3,0,0,1,3
9,10240,18,6,4,0,0,1,2
10,10240,21,7,4,0,0,2,1
11,10240,18,6,4,0,0,1,2
0,10752,20,7,4,0,0,2,1
1,10752,19,6,3,0,1,2,3
2,10752,22,6,3,0,1,1,3
3,10752,22,6,3,0,0,1,3
4,10752,19,5,3,1,0,1,3
5,10752,18,5,3,0,1,1,3
6,10752,20,6,3,0,0,1,3
7,10752,24,7,4,0,0,2,3
8,10752,21,6,4,1,2,2,3
9,10752,21,6,4,0,1,1,2
10,10752,24,7,4,0,1,2,1
11,10752,20,7,4,0,0,1,2
0,11264,22,8,4,0,1,2,1
1,11264,20,6,3,0,0,2,3
2,11264,22,7,4,0,1,2,2
3,11264,22,7,3,1,0,2,3
4,11264,20,6,3,0,0,1,3
5,11264,19,6,3,0,0,1,3
6,11264,21,6,3,0,0,2,3
7,11264,24,9,5,0,1,1,3
8,11264,23,7,4,0,0,2,3
9,11264,22,7,4,0,0,1,3
10,11264,25,8,5,0,3,2,1
11,11264,22,8,4,2,1,1,3
0,11776,22,8,5,1,0,2,1
1,11776,22,6,3,0,0,2,3
2,11776,24,7,4,0,2,2,2
3,11776,23,7,4,2,1,2,3
4,11776,22,6,3,0,1,1,3
5,11776,21,6,3,0,0,2,3
6,11776,22,7,3,0,0,2,3
7,11776,26,10,6,2,1,1,3
8,11776,24,8,5,1,0,2,3
9,11776,24,8,5,0,1,1,3
10,11776,26,11,5,0,0,2,1
11,11776,24,9,5,1,1,1,3
0,12288,23,8,5,0,4,2,1
1,12288,22,7,4,0,2,2,3
2,12288,25,8,4,1,0,2,3
3,12288,25,7,4,0,0,2,3
4,12288,22,7,4,0,0,1,3
5,12288,22,7,3,0,0,2,3
6,12288,23,7,4,0,2,2,3
7,12288,28,11,6,3,0,1,3
8,12288,26,10,5,1,1,2,3
9,12288,25,9,5,2,2,1,3
10,12288,27,12,6,1,2,2,1
11,12288,24,11,6,0,0,1,3
0,12800,24,9,5,1,2,2,1
1,12800,24,7,4,0,1,2,3
2,12800,25,9,4,1,0,2,3
3,12800,26,8,4,0,3,2,3
4,12800,24,7,4,0,2,1,3
5,12800,23,7,4,0,1,2,3
6,12800,24,8,4,0,2,2,3
7,12800,28,14,7,0,1,1,3
8,12800,27,11,6,0,1,2,3
9,12800,26,11,5,2,0,1,3
10,12800,28,14,7,1,2,2,1
11,12800,26,12,7,0,1,1,3
0,13312,25,9,5,0,2,2,1
1,13312,25,8,4,2,0,1,3
2,13312,26,10,4,2,2,2,3
3,13312,26,10,4,0,2,2,3
4,13312,25,9,4,0,0,2,3
5,13312,24,7,4,1,1,2,3
6,13312,25,9,4,0,1,2,3
7,13312,30,15,7,3,3,1,3
8,13312,28,12,6,1,1,2,3
9,13312,27,11,6,0,0,1,3
10,13312,30,15,7,1,1,2,1
11,13312,28,13,7,0,1,1,3
0,13824,26,9,5,0,0,2,1
1,13824,26,9,4,1,1,1,3
2,13824,26,11,5,3,1,2,3
3,13824,26,10,5,0,0,2,3
4,13824,25,10,5,0,0,2,3
5,13824,26,8,4,1,0,1,3
6,13824,27,9,4,0,1,2,3
7,13824,30,18,8,2,2,1,3
8,13824,29,15,6,1,0,2,3
9,13824,28,13,6,0,0,1,3
10,13824,30,16,8,1,1,2,1
11,13824,29,14,8,0,2,1,3
0,14336,24,11,5,0,0,1,1
1,14336,26,10,5,1,1,1,3
2,14336,27,11,5,1,1,2,3
3,14336,28,10,5,1,1,2,3
4,14336,26,11,5,1,1,2,3
5,14336,26,9,5,0,1,1,3
6,14336,27,10,4,1,0,2,3
7,14336,30,21,9,1,3,1,3
8,14336,32,16,7,2,4,2,3
9,14336,28,14,7,0,1,1,3
10,14336,31,16,7,1,1,2,1
11,14336,33,15,8,2,2,1,3
0,14848,24,12,5,1,2,1,1
1,14848,27,11,5,0,0,1,3
2,14848,28,12,6,0,3,2,3
3,14848,29,11,5,1,1,2,3
4,14848,27,12,5,0,0,2,3
5,14848,28,10,5,0,0,1,3
6,14848,28,10,5,1,2,2,3
7,14848,31,23,9,4,3,1,3
8,14848,33,17,7,5,3,2,3
9,14848,30,14,7,0,2,1,3
10,14848,32,17,7,4,0,2,1
11,14848,35,17,9,1,4,1,3
0,15360,21,13,6,0,2,2,1
1,15360,28,12,5,0,2,1,3
2,15360,30,14,6,0,1,2,3
3,15360,29,13,5,0,0,2,3
4,15360,28,13,6,1,0,2,3
5,15360,29,12,6,1,1,1,3
6,15360,29,11,5,1,1,2,3
7,15360,34,26,9,4,2,1,3
8,15360,38,18,8,5,3,2,3
9,15360,30,17,7,1,2,1,3
10,15360,31,18,10,5,1,2,1
11,15360,38,18,9,3,4,1,3
0,15872,21,13,6,1,3,2,2
1,15872,28,13,5,0,1,1,3
2,15872,32,14,7,0,2,1,3
3,15872,30,13,6,1,1,2,3
4,15872,29,14,6,2,0,2,3
5,15872,30,14,6,0,1,1,3
6,15872,31,12,6,1,1,2,3
7,15872,34,28,9,6,3,1,3
8,15872,39,20,9,5,2,2,3
9,15872,32,17,8,1,4,1,3
10,15872,35,20,10,4,4,2,1
11,15872,42,20,8,4,4,1,3
0,16384,20,11,6,3,1,2,2
1,16384,29,13,6,0,0,1,3
2,16384,32,17,8,0,7,1,3
3,16384,31,13,6,1,1,2,3
4,16384,33,15,6,4,3,2,3
5,16384,32,16,7,6,1,1,3
6,16384,36,16,6,5,2,2,3
7,16384,34,31,11,8,2,1,3
8,16384,42,19,10,8,0,2,3
9,16384,33,18,8,4,2,1,3
10,16384,34,20,9,2,3,2,1
11,16384,42,19,8,6,2,1,3
0,16896,20,11,6,1,2,2,2
1,16896,30,14,6,3,2,1,3
2,16896,32,18,9,1,6,1,3
3,16896,33,15,6,2,4,2,3
4,16896,33,18,5,4,1,1,3
5,16896,32,18,8,3,1,1,3
6,16896,35,19,6,6,3,2,3
7,16896,35,33,11,5,3,1,3
8,16896,47,21,10,10,0,2,3
9,16896,35,20,8,4,2,1,3
10,16896,39,20,9,3,2,2,1
11,16896,42,20,8,6,1,1,3
0,17408,20,12,6,3,1,2,3
1,17408,30,16,6,1,1,1,3
2,17408,34,19,9,3,2,1,3
3,17408,33,16,7,4,2,2,3
4,17408,34,17,6,5,2,1,3
5,17408,34,21,8,6,0,1,3
6,17408,36,21,7,8,0,2,3
7,17408,35,34,9,7,2,1,3
8,17408,50,21,10,10,0,2,3
9,17408,36,19,9,4,1,1,3
10,17408,42,21,9,3,3,2,1
11,17408,43,21,8,7,3,1,3
0,17920,21,11,5,0,1,2,3
1,17920,32,15,8,1,4,1,3
2,17920,34,22,8,3,3,1,3
3,17920,37,17,7,4,3,2,3
4,17920,33,20,6,6,1,1,3
5,17920,34,24,10,5,1,1,3
6,17920,35,22,6,10,0,2,3
7,17920,34,35,9,5,1,1,3
8,17920,55,22,6,7,1,2,3
9,17920,38,21,9,3,2,1,3
10,17920,43,20,7,3,4,2,1
11,17920,44,22,8,8,3,1,3
0,18432,21,12,5,2,3,2,3
1,18432,38,16,8,4,5,1,3
2,18432,36,21,8,6,2,1,3
3,18432,35,19,7,3,3,2,3
4,18432,31,20,5,6,2,1,3
5,18432,37,26,10,11,1,1,3
6,18432,37,23,6,8,3,2,2
7,18432,32,36,9,4,0,1,3
8,18432,57,22,9,7,3,2,3
9,18432,39,22,9,7,4,1,3
10,18432,42,22,11,3,5,2,1
11,18432,45,23,5,12,5,1,3
0,18944,21,12,6,3,2,2,3
1,18944,39,18,8,6,5,1,3
2,18944,38,22,8,9,0,1,3
3,18944,35,18,9,2,3,2,3
4,18944,32,20,6,4,1,1,3
5,18944,37,28,9,10,0,1,3
6,18944,37,23,6,7,4,1,2
7,18944,32,38,7,10,0,1,3
8,18944,61,22,11,6,2,2,3
9,18944,40,23,10,7,4,1,3
10,18944,45,22,10,4,6,2,1
11,18944,44,25,5,11,3,1,3
0,19456,22,12,6,1,3,2,3
1,19456,40,18,9,10,3,1,3
2,19456,38,24,7,10,3,1,2
3,19456,36,18,9,5,0,2,3
4,19456,34,23,5,7,1,1,3
5,19456,38,30,6,9,0,1,3
6,19456,38,24,7,10,4,1,2
7,19456,31,38,6,12,0,1,3
8,19456,60,23,12,7,1,1,3
9,19456,41,23,9,10,2,1,3
10,19456,46,24,10,3,8,2,1
11,19456,44,24,6,11,4,1,3
0,19968,23,13,6,2,0,2,3
1,19968,41,18,9,10,5,1,3
2,19968,39,25,7,10,3,1,1
3,19968,38,17,8,3,0,1,2
4,19968,34,25,4,13,0,1,3
5,19968,39,31,6,6,1,1,3
6,19968,37,25,6,7,4,1,2
7,19968,30,40,5,12,1,1,3
8,19968,61,23,10,8,1,1,3
9,19968,41,25,5,9,2,1,3
10,19968,50,24,10,7,9,2,1
11,19968,44,25,7,7,2,1,3
0,20480,25,14,6,0,2,2,3
1,20480,41,19,7,11,3,1,3
2,20480,39,27,7,18,4,1,1
3,20480,29,18,8,4,0,0,1
4,20480,34,24,3,9,0,1,3
5,20480,38,34,5,3,0,1,3
6,20480,37,26,5,7,2,1,2
7,20480,30,40,3,16,1,1,3
8,20480,60,25,9,5,1,1,3
9,20480,42,26,4,7,6,1,3
10,20480,51,24,11,13,7,2,1
11,20480,47,26,8,11,2,1,3
0,20992,26,16,6,0,3,2,3
1,20992,42,21,7,16,4,1,3
2,20992,39,27,5,20,5,1,1
3,20992,26,17,8,8,0,0,0
4,20992,36,24,3,10,0,1,3
5,20992,40,36,6,8,1,1,3
6,20992,37,26,6,4,4,1,2
7,20992,29,39,3,16,2,1,3
8,20992,61,26,9,7,1,1,3
9,20992,42,27,5,9,4,1,3
10,20992,54,26,10,15,8,2,1
11,20992,49,26,10,12,5,1,3
0,21504,28,17,8,1,8,2,3
1,21504,41,21,7,17,2,1,3
2,21504,40,27,5,23,4,1,1
3,21504,26,15,7,13,0,0,0
4,21504,36,23,3,8,0,1,3
5,21504,41,38,7,10,2,1,3
6,21504,38,26,6,4,3,1,2
7,21504,30,39,3,16,2,1,3
8,21504,62,26,9,8,4,1,3
9,21504,43,27,5,7,1,1,3
10,21504,58,26,9,20,5,2,1
11,21504,50,27,10,12,7,1,3
0,22016,32,16,8,2,7,2,3
1,22016,42,22,5,14,2,1,4
2,22016,39,28,3,21,5,1,1
3,22016,26,14,6,13,0,0,0
4,22016,38,23,3,5,0,1,3
5,22016,42,39,7,9,3,1,3
6,22016,38,28,5,8,3,1,2
7,22016,31,37,3,14,2,1,3
8,22016,62,27,10,16,6,1,3
9,22016,44,27,5,5,4,1,3
10,22016,62,27,9,23,8,2,1
11,22016,51,27,10,11,10,1,3
0,22528,34,18,9,5,4,2,3
1,22528,42,23,6,16,2,1,4
2,22528,38,29,4,21,7,1,1
3,22528,24,14,5,15,1,0,0
4,22528,41,25,2,4,2,1,3
5,22528,43,39,8,10,5,1,3
6,22528,38,28,6,8,1,1,2
7,22528,32,39,3,14,1,1,3
8,22528,64,27,8,13,6,1,3
9,22528,44,28,6,12,4,1,3
10,22528,62,27,9,23,6,2,1
11,22528,53,26,9,11,9,1,4
0,23040,37,17,9,3,2,2,3
1,23040,42,24,6,13,2,1,4
2,23040,39,25,4,22,8,1,1
3,23040,24,13,2,17,1,0,0
4,23040,43,26,2,9,2,1,3
5,23040,43,40,8,15,5,1,3
6,23040,39,30,4,7,3,1,2
7,23040,34,36,3,12,0,1,3
8,23040,64,28,7,16,4,1,3
9,23040,45,30,5,6,4,1,3
10,23040,65,27,8,26,6,2,1
11,23040,53,27,9,9,6,1,4
0,23552,40,21,9,6,2,2,3
1,23552,43,23,5,4,1,1,4
2,23552,40,25,4,21,9,1,1
3,23552,23,10,0,14,0,0,0
4,23552,44,26,3,11,1,1,3
5,23552,45,39,6,20,2,1,3
6,23552,39,31,5,4,5,1,2
7,23552,36,36,3,13,1,1,3
8,23552,65,29,6,16,6,1,3
9,23552,46,30,6,8,3,1,3
10,23552,63,29,8,29,7,2,1
11,23552,54,27,10,8,6,1,4
0,24064,43,22,10,6,3,2,3
1,24064,43,22,5,4,0,1,4
2,24064,41,25,3,23,6,1,2
3,24064,21,9,0,15,0,0,0
4,24064,45,27,2,14,1,1,3
5,24064,45,41,3,22,4,1,3
6,24064,40,31,5,4,7,1,2
7,24064,37,37,4,11,1,1,3
8,24064,65,30,7,20,10,1,3
9,24064,47,30,7,13,2,1,3
10,24064,65,29,9,34,7,2,2
11,24064,54,27,11,8,8,1,4
0,24576,46,24,10,10,1,2,3
1,24576,48,24,6,10,1,1,4
2,24576,37,25,3,21,4,1,2
3,24576,20,9,0,14,0,0,0
4,24576,46,27,2,9,0,1,3
5,24576,46,41,4,18,4,1,3
6,24576,41,30,5,5,6,1,2
7,24576,37,36,4,4,3,1,3
8,24576,63,31,7,16,9,1,3
9,24576,48,30,6,6,1,1,3
10,24576,67,30,7,35,4,2,2
11,24576,56,26,10,6,1,1,4
0,25088,48,26,9,6,2,2,3
1,25088,51,24,5,10,1,1,4
2,25088,33,25,2,19,3,1,0
3,25088,16,5,0,8,0,0,0
4,25088,47,28,2,7,1,1,3
5,25088,46,42,4,19,3,1,3
6,25088,40,31,4,11,2,1,3
7,25088,38,37,5,5,2,1,3
8,25088,63,30,9,21,6,1,4
9,25088,49,31,7,9,0,1,3
10,25088,67,28,9,33,7,2,2
11,25088,59,27,9,6,5,1,4
0,25600,48,27,10,6,1,2,3
1,25600,53,25,5,14,5,1,4
2,25600,31,24,2,19,4,1,0
3,25600,14,4,0,10,0,0,0
4,25600,47,29,2,12,0,1,3
5,25600,45,39,5,14,1,1,3
6,25600,40,32,3,10,6,1,3
7,25600,38,41,5,6,0,1,3
8,25600,60,31,8,14,2,1,4
9,25600,49,34,6,10,0,1,3
10,25600,67,29,9,32,9,2,2
11,25600,62,30,8,9,4,1,4
0,26112,50,30,10,6,0,2,3
1,26112,54,26,5,15,5,1,4
2,26112,27,25,3,16,4,1,0
3,26112,14,4,0,13,0,0,0
4,26112,48,29,3,6,0,1,3
5,26112,44,40,5,11,2,1,3
6,26112,40,32,4,13,5,1,3
7,26112,39,41,6,3,0,1,3
8,26112,60,31,8,11,2,1,4
9,26112,50,33,6,10,3,1,3
10,26112,70,22,9,26,9,2,2
11,26112,64,30,8,12,5,1,4
0,26624,53,32,10,6,2,2,3
1,26624,54,27,2,10,2,1,4
2,26624,27,25,2,13,5,1,0
3,26624,13,2,0,11,0,0,0
4,26624,49,28,3,5,0,1,3
5,26624,46,41,4,15,1,1,3
6,26624,41,33,2,11,6,1,3
7,26624,41,40,5,4,0,1,2
8,26624,61,32,9,12,1,1,4
9,26624,51,34,6,13,4,1,3
10,26624,66,24,10,29,8,2,3
11,26624,66,30,9,16,9,1,4
0,27136,55,36,9,10,1,2,3
1,27136,54,27,3,10,2,1,4
2,27136,25,26,2,14,3,1,0
3,27136,11,2,0,12,0,0,1
4,27136,52,30,3,11,4,1,3
5,27136,45,43,4,12,1,1,3
6,27136,40,34,2,12,3,1,3
7,27136,46,39,5,9,2,1,3
8,27136,62,31,10,6,3,1,4
9,27136,51,35,6,14,3,1,3
10,27136,67,23,8,28,5,2,3
11,27136,62,29,11,12,6,1,4
0,27648,55,38,10,9,3,2,3
1,27648,55,27,3,7,2,1,4
2,27648,25,25,3,12,4,1,0
3,27648,9,1,0,10,0,0,0
4,27648,54,27,3,12,4,1,3
5,27648,47,44,4,16,2,1,3
6,27648,40,35,3,11,6,1,3
7,27648,44,38,5,13,1,1,3
8,27648,62,29,11,5,3,1,4
9,27648,52,36,6,8,7,1,3
10,27648,67,23,9,28,6,2,3
11,27648,63,31,9,16,5,1,4
0,28160,55,39,9,10,2,2,3
1,28160,56,28,3,5,0,1,4
2,28160,26,25,3,16,3,1,0
3,28160,8,1,0,9,0,0,0
4,28160,54,28,2,14,4,1,3
5,28160,47,45,5,14,2,1,3
6,28160,41,35,3,8,4,1,3
7,28160,45,39,5,16,1,1,3
8,28160,66,28,12,3,8,1,4
9,28160,53,37,5,10,6,1,3
10,28160,70,22,10,28,6,2,3
11,28160,62,33,10,18,4,1,4
0,28672,56,39,7,12,1,2,3
1,28672,58,30,4,7,1,1,4
2,28672,25,26,2,18,1,1,0
3,28672,6,1,0,7,0,0,0
4,28672,53,28,2,14,3,1,3
5,28672,48,47,5,15,4,1,3
6,28672,42,36,3,10,4,1,4
7,28672,46,39,4,16,2,1,3
8,28672,69,27,12,7,4,1,4
9,28672,53,36,7,13,3,1,3
10,28672,71,22,9,24,7,2,3
11,28672,61,35,9,13,5,1,4
0,29184,56,44,5,8,2,2,3
1,29184,59,29,4,7,1,1,4
2,29184,25,24,2,17,4,1,0
3,29184,6,1,0,7,0,0,0
4,29184,53,28,2,11,2,1,3
5,29184,49,48,5,14,3,1,3
6,29184,42,37,3,12,5,1,4
7,29184,47,40,4,17,1,1,3
8,29184,71,29,11,10,5,1,4
9,29184,54,38,4,13,0,1,3
10,29184,75,22,9,26,3,2,3
11,29184,60,36,8,11,6,1,5
0,29696,58,43,7,9,3,2,3
1,29696,60,31,4,8,2,1,4
2,29696,23,21,2,19,0,1,0
3,29696,5,1,0,6,0,0,0
4,29696,54,28,2,11,1,1,3
5,29696,48,50,5,12,2,1,3
6,29696,43,38,3,8,5,1,4
7,29696,48,39,5,18,1,1,3
8,29696,71,31,12,14,5,1,4
9,29696,54,37,5,13,3,1,3
10,29696,75,22,9,22,4,2,4
11,29696,61,38,4,13,3,1,5
0,30208,61,43,7,9,8,2,3
1,30208,61,29,3,8,1,1,4
2,30208,22,21,2,20,1,1,0
3,30208,4,1,0,5,0,0,0
4,30208,55,28,1,13,0,1,3
5,30208,48,51,5,9,1,1,4
6,30208,43,38,3,6,5,1,4
7,30208,49,41,4,16,2,1,3
8,30208,71,31,11,12,3,1,4
9,30208,55,38,4,13,4,1,3
10,30208,76,22,10,20,8,2,4
11,30208,61,39,3,6,2,1,5
0,30720,64,43,10,12,8,2,3
1,30720,61,29,3,10,1,1,4
2,30720,23,19,2,19,4,1,1
3,30720,1,1,0,2,0,0,0
4,30720,55,28,1,10,0,1,3
5,30720,48,51,5,6,2,1,4
6,30720,44,38,3,8,6,1,4
7,30720,49,42,4,18,3,1,3
8,30720,71,32,10,11,6,1,4
9,30720,54,38,5,15,3,1,3
10,30720,75,24,10,16,9,2,4
11,30720,64,41,3,4,4,1,5
0,31232,67,44,8,9,6,2,3
1,31232,59,29,2,11,3,1,5
